אול מאונטיין
מרוץ 3 עונת 2014 - יער חוף כרמל - 03-05-2014
אנדורו
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,מקצה 4,זמן
11,121,בריינין דוד,1:49.222,4:40.873,,5:11.308,4:40.873
לא סיים - מקצה 3 - DNF
,116,סמירנוב דן,,3:04.168,,,
ספרינט 12-13
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,195,זכור לאי,,2:41.543,2:40.753,2:39.824,2:39.824
2,140,דברת נדב,5.339,2:46.960,,2:45.163,2:45.163
3,128,קלנר עומר,15.794,3:23.507,,2:55.618,2:55.618
4,217,סגל גיא,20.506,3:00.330,,3:21.102,3:00.330
5,129,מלאכי תומר,24.799,3:04.623,,3:08.373,3:04.623
6,131,סטרדינר תומר,26.095,3:05.919,,3:12.257,3:05.919
7,268,רפאלי אמיר,29.915,3:09.739,,3:17.997,3:09.739
8,133,רצון כפיר,30.021,3:18.470,,3:09.845,3:09.845
9,277,וייס אורי,30.717,3:12.134,,3:10.541,3:10.541
10,267,וימן גיא,33.126,3:14.411,,3:12.950,3:12.950
11,223,קינן רועי,35.313,3:29.730,,3:15.137,3:15.137
12,130,ג'יימס פוגליז,38.463,3:18.447,,3:18.287,3:18.287
13,134,אביתר עומר,43.407,3:23.231,,3:24.538,3:23.231
14,158,דיין יונתן,43.616,3:42.439,,3:23.440,3:23.440
15,264,ינאי עומר,43.883,3:23.707,,3:48.382,3:23.707
16,219,שוורץ שגיא,51.988,4:20.017,,3:31.812,3:31.812
ספרינט 14-15
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,12,שולץ עיטם,,2:28.306,2:31.559,2:33.295,2:28.306
2,142,נחום אוהד,6.499,2:34.805,,2:39.337,2:34.805
3,156,שדה טל,8.145,2:43.795,,2:36.451,2:36.451
4,155,אביתר נעם,12.416,2:42.622,,2:40.722,2:40.722
5,251,שוסטר שקד,14.522,2:42.828,2:47.073,2:44.288,2:42.828
6,269,פרידריך רון,14.887,2:46.077,,2:43.193,2:43.193
7,261,לביא אלעד,16.286,3:03.634,,2:44.592,2:44.592
8,188,בן צבי תומר,17.205,2:52.825,,2:45.511,2:45.511
9,167,שדה ארז,18.839,2:58.541,,2:47.145,2:47.145
10,271,אהרון נעם,21.225,2:49.531,,2:51.430,2:49.531
11,143,סרט ניר,22.338,2:50.644,2:55.936,3:07.256,2:50.644
12,272,דור מתן,22.852,2:51.158,,2:55.968,2:51.158
13,226,חנון יהלי,23.694,2:52.000,,2:55.055,2:52.000
14,273,כהן אביב,29.116,2:57.422,,3:05.741,2:57.422
15,165,לוין רועי,30.835,2:59.141,,3:05.498,2:59.141
16,270,גלעדי עומר,32.575,3:00.881,,3:03.693,3:00.881
