אנדורו - ספיישל טסט
מרוץ 4 עונת 2017 - יער קולה - 21-10-2017

E1
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,25,תומר שמש,3:44.994,3:36.256,3:37.026,3:35.584,3:33.921,18:07.781,-
2,88,דן מיה,3:48.677,3:41.555,3:45.405,3:43.396,3:47.326,18:46.359,38.578
3,355,נועם דדון,3:51.058,3:46.721,3:45.877,3:49.223,3:50.087,19:02.966,55.185
4,61,רון קדשאי,3:59.685,3:55.125,3:51.886,3:47.897,3:45.425,19:20.018,1:12.237
5,222,אריאל דדיה,4:08.347,3:59.189,4:00.239,3:53.296,4:05.300,20:06.371,1:58.590
הקפה מהירה: (25) תומר שמש - 3:33.921
E2
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,22,יוני לוי,3:36.817,3:25.992,3:31.078,3:29.012,3:30.108,17:33.007,-
2,5,זיו כרמי,3:37.434,3:29.708,3:28.790,3:28.828,3:33.414,17:38.174,5.167
3,4,דרור כהן,3:43.674,3:37.560,3:34.838,3:33.569,3:35.979,18:05.620,32.613
4,8,נמרוד חמו,3:39.568,3:38.175,3:38.135,3:37.788,3:39.269,18:12.935,39.928
5,122,דניס פורמנוב,3:53.594,3:49.349,3:42.849,3:41.982,3:39.602,18:47.376,1:14.369
6,84,סער יעקב,3:48.355,3:45.864,3:38.573,3:37.589,3:58.071,18:48.452,1:15.445
7,6,ירון יעקובוביץ,4:03.113,3:54.478,3:53.409,3:51.795,3:51.973,19:34.768,2:01.761
8,18,תובל דובדבני,3:56.835,3:55.400,4:01.579,3:55.773,3:55.182,19:44.769,2:11.762
הקפה מהירה: (22) יוני לוי - 3:25.992
E3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,9,צחי בן גיגי,3:56.573,3:49.515,3:54.967,3:47.558,3:48.987,19:17.600,-
2,2,טל אייזנבנד,3:56.791,3:53.512,3:53.251,3:52.521,3:50.999,19:27.074,9.474
3,3,גיל קינן,4:01.622,3:53.398,3:53.768,3:52.144,3:51.647,19:32.579,14.979
4,217,מוש כהן,3:58.820,3:52.411,3:52.477,3:58.357,4:03.299,19:45.364,27.764
5,100,אליקו אוחנה,4:01.877,3:54.752,3:54.070,3:57.580,3:57.896,19:46.175,28.575
6,30,אורי גרינשטיין,4:09.031,4:03.434,4:07.323,4:01.661,4:02.140,20:23.589,1:05.989
7,85,חיים פרנסי,4:09.443,4:13.956,4:16.614,4:04.827,4:10.386,20:55.226,1:37.626
לא סיים - DNF
,175,ניצן בן שטרית,4:23.475,4:10.999,4:27.078,-,-,13:01.552,2 הקפות
הקפה מהירה: (9) צחי בן גיגי - 3:47.558

C1
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,עונשין,פער
1,212,אמיר ויצמן,3:57.331,3:55.300,3:52.987,3:56.117,15:41.735,-,-
2,45,שי אביגדור,4:14.777,4:00.527,4:00.100,3:58.413,16:13.817,-,32.082
3,95,גל יעקב,4:19.576,4:15.973,4:15.716,4:09.046,17:00.311,-,1:18.576
4,20,גיא אוחנה,4:15.384,4:10.654,4:31.314,4:08.154,17:05.506,-,1:23.771
5,444,טל מאיה,4:19.105,4:19.965,4:14.139,4:23.101,17:16.310,-,1:34.575
6,253,נועם שלו,4:22.255,4:24.102,4:19.568,4:18.349,17:24.274,-,1:42.539
7,44,מעין סבי,3:59.175,4:03.186,3:57.657,4:07.815,P 18:07.833,2:00.000,2:26.098
8,471,אילן ברוורמן,4:30.952,4:39.717,5:18.001,4:55.168,19:23.838,-,3:42.103
9,602,רועי רן,5:01.377,5:05.939,5:08.050,5:01.837,20:17.203,-,4:35.468
לא סיים - DNF
,188,אלון אלבז,4:12.844,4:04.352,4:21.302,-,P 24:38.498,12:00.000,1 הקפה
הקפה מהירה: (212) אמיר ויצמן - 3:52.987
C2
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,עונשין,פער
1,65,רפאל קבסה,4:12.741,4:08.059,4:04.870,4:03.300,16:28.970,-,-
2,103,ברק פולקמר,4:16.476,4:11.555,4:10.437,4:13.872,16:52.340,-,23.370
