זמן מטרה
מרוץ 5 עונת 2018 - פצאל - 11-05-2018

קטגוריה A
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,57,מור מושקוביץ,46.631,46.600,-,46.600,-
2,68,בר מושקוביץ,47.147,46.816,-,46.816,0.216
3,75,ניר מי פז,47.644,47.132,-,47.132,0.532
4,58,פיליפ רוזין,48.648,47.919,-,47.919,1.319
5,59,ניר לוי,-,49.026,-,49.026,2.426
6,71,אופיר אלחנתי,49.354,49.081,-,49.081,2.481
7,61,ציון מסיקה,49.957,49.111,-,49.111,2.511
8,64,אסף צרפתי,49.759,-,-,49.759,3.159
9,10,נדב אלחנתי,50.622,50.438,-,50.438,3.838
10,67,אורית גולדבלום,50.998,51.594,-,50.998,4.398
11,60,יאן פרגמנט,52.480,52.208,-,52.208,5.608
12,63,אריק אהרוני,53.430,52.485,-,52.485,5.885
13,56,ראם גרוס,-,-,-,-,-
קטגוריה B
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,14,גידי קרונין,-,45.764,-,45.764,-
2,41,אורן אלמזריק,46.500,45.925,-,45.925,0.161
3,40,טים קורוטקין,46.331,46.110,-,46.110,0.346
4,46,גנאדי סרוצאן,46.148,46.299,-,46.148,0.384
5,44,יגאל שריג,46.290,46.178,-,46.178,0.414
6,43,אלי אלבג,46.443,46.404,-,46.404,0.640
7,48,קובי כהן,-,46.895,-,46.895,1.131
8,42,דקל נער,-,47.233,-,47.233,1.469
9,47,שרון ספיבק,47.590,47.803,-,47.590,1.826
10,49,חן לוי,48.164,48.065,-,48.065,2.301
11,45,עזרא רפאל,-,48.496,-,48.496,2.732
12,50,איתן אשרי,49.263,49.158,-,49.158,3.394
13,52,קובי זינגר,49.852,49.358,-,49.358,3.594
14,55,דורון שיפרטו,51.745,50.526,-,50.526,4.762
15,53,מנחם כץ,53.650,50.874,-,50.874,5.110
16,51,אביתר כהן,-,51.182,-,51.182,5.418
קטגוריה C
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,36,אריאל לוי,-,45.257,43.943,43.943,-
2,20,גיא אמודי,46.002,44.516,44.242,44.242,0.299
3,21,דורון שמשי,46.729,44.575,-,44.575,0.632
4,30,חמאדה עודה,-,46.680,45.658,45.658,1.715
5,22,לוטן פלג,48.437,46.590,46.267,46.267,2.324
6,29,פיני אלישקוב,47.464,47.136,46.402,46.402,2.459
7,37,אייל הלפרין,48.685,47.401,46.625,46.625,2.682
8,23,אדיר שי,48.039,46.866,46.718,46.718,2.775
9,31,ניב גלנטי,48.213,47.794,47.340,47.340,3.397
10,26,משה ריימונד,49.838,48.549,47.777,47.777,3.834
11,32,רז הרט,49.706,48.180,47.871,47.871,3.928
12,38,אמיר אופיר,48.911,48.612,49.337,48.612,4.669
13,34,אמיר בריה,50.781,49.029,51.141,49.029,5.086
14,33,אדיר סרור,50.732,49.564,-,49.564,5.621
15,27,סטס גולברג,53.103,49.781,-,49.781,5.838
16,35,ניר בן ארי,50.427,50.547,50.001,50.001,6.058
קטגוריה פתוחה
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,4,שלומי שביב,43.588,43.254,42.670,42.670,-
2,5,ערן גומר,44.685,44.421,43.664,43.664,0.994
3,7,מוטי נתן,45.221,43.814,43.937,43.814,1.144
4,8,גיל קהלני,46.802,45.054,45.751,45.054,2.384
5,9,עופר קאשי,46.967,45.765,45.457,45.457,2.787
6,6,ג'ון ציקו,45.500,-,-,45.500,2.830
7,11,סימון אלישקוב,-,45.818,45.683,45.683,3.013
8,79,און יעקובסון,46.561,46.004,45.686,45.686,3.016
9,77,כפיר צליח,47.732,46.276,46.432,46.276,3.606
10,12,עבדאללה אבו מוח,-,47.163,46.519,46.519,3.849
11,17,עופר פלג,48.221,46.578,-,46.578,3.908
12,15,רומן זילברמן,47.985,46.897,47.534,46.897,4.227
13,16,אולג וסילקוב,47.658,46.967,-,46.967,4.297
14,78,שרון נרקיס,48.623,47.890,48.787,47.890,5.220

© כל הזכויות שמורות לתנועה מדידת זמנים
