אול מאונטיין
מרוץ 5 עונת 2016 - כפר החורש - 05-11-2016

3,205,עמרי דנון,4:42.859,4:42.859,,7.793
4,251,דוד כהן סולל עמר,4:50.185,4:50.185,,15.119
5,203,עופר גל שנהב,5:03.089,5:03.089,,28.023
6,120,יהונתן הימן,8:20.020,8:20.020,,3:44.954
7,170,תמיר זלכה,9:54.483,9:54.483,,5:19.417
ספרינט 10-11
מקום,מספר,שם,מקצה 1,זמן,עונשין,פער
1,100,ערן כהן - סולל עמר,4:06.245,4:06.245,,
2,107,עירד דלויה,4:09.494,4:09.494,,3.249
3,108,רואי אוסטפלד,4:13.447,4:13.447,,7.202
4,104,עמית שדמי,4:23.335,4:23.335,,17.090
5,244,קשת רוטר,4:59.507,4:59.507,,53.262
6,210,רום כהן,5:01.338,5:01.338,,55.093
7,282,אלעד גרינברג,5:14.155,5:14.155,,1:07.910
8,118,עידו גל שנהב,5:55.107,5:55.107,,1:48.862
9,245,רן כרמל,6:48.338,6:48.338,,2:42.093
10,119,ניב הימן,7:20.363,7:20.363,,3:14.118
11,121,רון קרן,8:21.366,8:21.366,,4:15.121
ספרינט 12-13
מקום,מספר,שם,מקצה 1,זמן,עונשין,פער
1,232,יואב רפופורט,3:49.562,3:49.562,,
2,179,טל שורקי,3:59.121,3:59.121,,9.559
3,135,שיר אוקו,4:05.850,4:05.850,,16.288
4,112,גלעד הימן,4:22.687,4:22.687,,33.125
5,101,רון גולדנברג,4:24.312,4:24.312,,34.750
6,189,שחר נחום,4:26.434,4:26.434,,36.872
7,164,נטע אבישי,4:27.007,4:27.007,,37.445
8,132,יאיר ליננברג,4:34.975,4:34.975,,45.413
9,207,נילס יאורד,4:35.009,4:35.009,,45.447
10,214,ידין גנון,4:35.145,4:35.145,,45.583
11,185,יובל פרנקו,4:37.939,4:37.939,,48.377
12,287,יואב דותן,4:39.457,4:39.457,,49.895
13,109,איתי פרץ,4:44.483,4:44.483,,54.921
14,165,חגי צבי לגמן,4:48.821,4:48.821,,59.259
15,71,שגיב מנחם,4:56.488,4:56.488,,1:06.926
16,224,עמית גז,5:00.936,5:00.936,,1:11.374
17,238,שי ורול,5:09.310,5:09.310,,1:19.748
18,78,עומר ביטון,5:51.429,5:51.429,,2:01.867
ספרינט 14-15
מקום,מספר,שם,מקצה 1,זמן,עונשין,פער
1,299,רז סימסון,3:42.134,3:42.134,,
2,149,יותם צור,3:42.236,3:42.236,,0.102
3,223,דן סמירנוב,3:46.526,3:46.526,,4.392
4,74,תומר סטרדינר,3:50.630,3:50.630,,8.496
5,125,אביב לרר,4:03.001,4:03.001,,20.867
6,222,ניב אטיאס,4:04.373,4:04.373,,22.239
7,291,Yaron Tamir,4:04.587,4:04.587,,22.453
8,156,אביב צמח,4:18.927,4:18.927,,36.793
9,117,הראל הימן,4:23.277,4:23.277,,41.143
10,177,עדי שוחט,4:27.586,4:27.586,,45.452
11,254,איתי שוסהיים,4:27.938,4:27.938,,45.804
12,134,דוד בריינין,4:29.514,4:29.514,,47.380
13,257,אדם בורסון,4:29.809,4:29.809,,47.675
14,54,אופיר קדם,4:58.795,4:58.795,,1:16.661
15,195,שגיא שורץ,5:10.403,5:10.403,,1:28.269
16,237,איתן נבלב,5:26.405,5:26.405,,1:44.271
17,198,אורי לרנר,5:36.694,5:36.694,,1:54.560
18,142,יובל סוייבלמן,6:37.723,6:37.723,,2:55.589
ספרינט 16-19
מקום,מספר,שם,מקצה 1,זמן,עונשין,פער
1,266,נדב דברת,3:36.155,3:36.155,,
2,233,עומר מוהר,3:44.940,3:44.940,,8.785
3,269,ארז שדה,3:45.873,3:45.873,,9.718
4,47,אסף גורפינקל,3:55.111,3:55.111,,18.956
5,175,יובל קרון,3:57.237,3:57.237,,21.082
6,116,דוד בניסטי,3:58.933,3:58.933,,22.778
7,114,עומר קזס,4:01.681,4:01.681,,25.526
8,58,נמרוד זילכה,4:14.828,4:14.828,,38.673
9,158,עדן אפרים,4:16.538,4:16.538,,40.383
ספרינט 20-29
מקום,מספר,שם,מקצה 1,זמן,עונשין,פער
1,3,גיא בר,3:28.214,3:28.214,,
2,92,יונתן לוי,3:37.011,3:37.011,,8.797
