אנדורו - ספיישל טסט
מרוץ 4 עונת 2018 - גבעת המורה - 30-06-2018

מקצועית E1
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,הקפה 11,הקפה 12,זמן,פער
1,25,תומר שמש,6:15.466,4:57.245,6:18.647,4:55.725,6:18.970,4:49.867,6:15.461,4:44.720,6:05.789,4:43.633,6:06.023,4:40.124,1:06:11.670,-
2,94,בר נוב,6:18.266,4:47.565,6:16.420,4:55.455,6:16.989,4:47.107,6:18.126,4:44.647,6:14.915,4:40.438,6:10.063,4:51.006,1:06:20.997,9.327
3,61,רון קדשאי,6:33.488,5:11.718,6:35.131,5:05.488,6:34.163,5:10.417,6:33.626,5:03.953,6:31.200,5:03.156,6:30.096,4:59.607,1:09:52.043,3:40.373
4,15,אריאל שלי,6:29.961,5:10.731,7:01.739,5:06.612,6:45.759,5:03.928,6:43.374,5:02.500,6:42.190,5:02.440,6:44.082,5:10.583,1:11:03.899,4:52.229
5,212,אמיר וייצמן,6:43.120,5:20.384,6:46.633,5:11.992,6:44.584,5:12.350,6:36.656,5:07.938,6:37.662,5:11.456,6:39.461,5:14.440,1:11:26.676,5:15.006
6,392,שגיא צרפתי,6:50.432,5:22.013,6:56.737,5:32.635,6:47.306,5:15.588,6:36.581,5:24.785,6:39.795,5:27.472,6:37.308,5:14.884,P 1:13:45.536,7:33.866
7,800,דניאל ליטווק,7:09.159,5:28.419,6:59.458,5:23.713,6:55.125,5:16.300,6:49.591,5:23.737,6:51.011,5:15.849,6:52.048,5:23.117,1:13:47.527,7:35.857
לא סיים - DNF
,51,גיא דוברובסקי,6:28.375,5:21.162,6:24.286,5:12.781,7:06.398,5:34.085,6:56.404,-,-,-,-,-,43:03.491,5 הקפות
,777,דוד פורמנוב,6:30.353,5:12.998,6:22.641,5:36.553,6:26.888,5:21.412,-,-,-,-,-,-,35:30.845,6 הקפות
מקצועית E2
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,הקפה 11,הקפה 12,זמן,פער
1,22,יונתן לוי,6:01.997,4:42.091,6:05.098,4:40.868,6:01.142,4:40.437,6:00.672,4:46.479,6:13.855,4:45.573,6:09.841,4:46.703,1:04:54.756,-
2,5,זיו כרמי,6:11.295,4:53.869,6:20.391,4:50.790,6:18.046,4:45.021,6:09.322,4:44.476,6:03.444,4:41.892,6:05.729,4:46.777,1:05:51.052,56.296
3,8,נמרוד חמו,6:18.755,4:57.822,6:23.766,4:52.005,6:13.537,4:51.309,6:09.333,4:45.430,6:12.236,4:51.399,6:14.545,4:48.282,1:06:38.419,1:43.663
4,84,סער יעקב,6:37.620,5:28.601,7:00.320,5:14.894,6:49.167,5:07.356,6:37.357,5:06.957,6:29.109,5:06.434,6:29.879,5:02.106,1:11:09.800,6:15.044
5,6,ירון יעקובוביץ,6:38.635,5:12.229,6:34.621,5:23.488,6:42.209,5:15.574,6:41.517,7:06.279,7:06.124,5:29.566,7:00.447,5:30.745,1:14:41.434,9:46.678
לא סיים - DNF
,4,דרור כהן,6:39.379,5:19.850,6:49.410,5:33.633,6:53.036,5:25.864,7:06.873,5:22.415,-,-,-,-,49:10.460,4 הקפות
מקצועית E3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,הקפה 11,הקפה 12,זמן,פער
1,470,צוק סלע,6:39.086,5:20.138,6:46.498,5:12.155,6:36.123,5:14.882,6:36.998,5:12.819,6:36.476,4:59.961,6:35.638,5:11.574,1:11:02.348,-
2,2,טל איזנבנד,6:39.385,5:17.743,6:52.567,5:24.326,7:03.323,5:17.601,6:52.925,5:14.660,6:44.482,5:10.248,6:39.303,5:19.338,1:12:35.901,1:33.553
3,14,ירון לוגסי,7:03.917,5:37.000,7:08.724,5:46.142,7:04.091,5:47.828,7:11.162,5:43.231,7:05.977,5:46.184,7:05.900,5:47.477,1:17:07.633,6:05.285
4,117,חביאר אלחנדרו,7:18.076,6:05.777,7:20.243,5:48.656,7:12.167,5:37.318,6:59.956,5:44.094,7:08.193,5:30.753,7:06.016,5:33.680,1:17:24.929,6:22.581

מתחילים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,זמן,פער
1,26,עומר רוזנבלום,7:16.018,5:47.927,7:24.476,5:47.306,7:20.543,5:40.522,7:17.858,5:46.900,52:21.550,-
2,891,עומר שדה,7:18.498,6:10.014,7:24.841,5:53.611,7:15.112,6:02.613,7:28.627,5:42.972,53:16.288,54.738
3,161,אמיר אבו מוך,7:52.573,6:04.960,7:33.848,5:59.128,7:22.793,5:53.362,7:29.734,6:18.684,54:35.082,2:13.532
4,385,תומר סטרדינר,8:02.692,6:31.783,8:04.447,6:08.943,8:07.632,6:32.232,7:46.240,6:38.591,57:52.560,5:31.010
5,138,אלון טייר,7:55.722,6:26.639,8:04.633,6:36.375,8:11.976,6:40.108,7:59.691,6:59.040,58:54.184,6:32.634
6,203,אורי עזרא,8:23.552,6:40.589,8:37.450,6:39.960,8:23.132,6:41.307,8:08.870,6:27.707,1:00:02.567,7:41.017
7,600,הוד מעודה,7:45.639,6:23.010,7:55.939,6:10.703,7:48.874,6:22.095,7:49.006,6:13.409,P 1:02:28.675,10:07.125
8,21,עומר קלנר,8:54.190,7:29.656,8:30.028,6:55.434,8:11.856,6:12.929,7:43.502,5:57.237,P 1:03:54.832,11:33.282
9,152,גל צחור,8:21.210,6:35.186,9:05.377,7:28.358,9:00.492,7:23.885,9:13.906,7:42.064,1:04:50.478,12:28.928
10,11,חיים צדיק,8:57.333,7:17.364,7:58.954,7:19.755,8:11.679,7:13.053,9:05.497,7:16.917,P 1:08:20.552,15:59.002
11,202,אסף אדום,9:50.511,9:43.147,10:00.025,7:53.669,9:49.865,8:02.122,9:59.777,8:15.664,1:13:34.780,21:13.230
לא סיים - DNF
,516,רז ויצמן,8:59.311,8:21.698,8:02.846,7:04.997,-,6:19.006,-,-,P 40:47.858,3 הקפות

סניורים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,זמן,פער
1,121,אוריה כרמלי,6:56.026,5:27.851,6:54.407,5:24.461,6:51.040,5:23.205,6:47.364,5:21.184,6:50.075,5:21.580,1:01:17.193,-
2,745,שאולי חמואי,6:56.411,5:26.581,7:01.346,5:28.724,7:03.884,5:30.089,7:03.398,5:30.095,7:05.261,5:31.125,1:02:36.914,1:19.721
3,111,יוסי גוטמן,7:09.895,5:36.626,7:11.545,5:42.173,7:19.318,5:42.109,7:16.838,5:38.663,7:09.794,5:44.194,1:04:31.155,3:13.962
4,125,רונן מדיאל,6:59.319,5:52.958,7:12.185,5:47.000,7:18.542,5:36.905,7:09.834,5:40.881,7:08.968,5:50.358,1:04:36.950,3:19.757
5,65,רפאל קבסה,7:11.574,5:44.489,7:14.826,5:49.257,7:16.428,5:47.636,7:13.319,5:47.116,7:18.326,5:56.235,1:05:19.206,4:02.013
6,50,נדב לוגסי,7:18.893,5:51.989,7:13.828,5:48.254,7:22.532,5:45.680,7:16.720,5:48.480,7:18.754,5:53.966,1:05:39.096,4:21.903
7,412,צחי כפרי,7:14.290,5:55.903,7:23.582,6:08.847,7:18.651,6:01.302,7:12.678,5:50.425,7:11.329,5:58.204,1:06:15.211,4:58.018
8,901,עמית גול,7:12.390,5:54.490,7:20.319,6:02.741,7:35.610,6:02.977,7:27.295,6:14.083,7:31.079,6:10.615,1:07:31.599,6:14.406
9,930,יעקב כהן,7:30.176,6:04.323,7:31.405,6:02.600,7:31.699,5:59.490,7:27.701,6:21.447,7:36.556,6:05.325,1:08:10.722,7:53.529
10,501,עופר בנימין,8:24.459,6:48.948,8:08.031,7:02.686,8:11.062,7:02.961,8:12.988,7:20.954,8:17.902,7:12.119,1:16:42.110,15:24.917
11,680,שי מגן,8:05.735,6:23.930,7:58.824,6:37.960,8:09.370,7:03.378,8:27.416,6:43.317,19:13.452,6:57.761,1:25:41.143,24:23.950
לא סיים - DNF
,56,איציק קלנר,7:22.525,5:54.520,7:44.493,5:52.116,7:44.552,5:53.511,7:37.011,7:00.602,-,-,55:09.330,2 הקפות
עממית C1
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,זמן,פער
1,241,אופיר ואזה,6:54.155,5:49.056,6:54.497,5:52.939,6:53.687,5:47.642,7:01.003,5:35.734,6:57.596,5:41.888,1:03:28.197,-
2,75,יובל גוטמן,7:04.832,5:40.366,7:17.077,5:54.526,7:14.460,5:42.965,7:06.491,5:41.096,7:11.343,5:50.445,1:04:43.601,1:15.404
3,33,גיל זרקו,6:56.574,5:38.943,6:47.179,5:39.751,7:00.877,5:44.539,7:04.340,6:05.812,8:27.026,6:50.635,1:06:15.676,2:47.479
4,110,איתי גרואג,7:44.757,6:08.063,7:46.453,5:42.826,7:24.629,5:48.410,7:11.177,5:36.127,7:26.962,5:45.710,P 1:07:35.114,4:06.917
5,252,אמיר אילון,8:27.749,6:23.741,8:09.744,6:17.105,7:56.752,6:17.051,7:59.777,6:16.341,8:37.600,6:12.406,1:12:38.266,9:10.069
6,100,רן יוחאי,8:05.596,6:19.404,7:50.947,6:29.003,7:57.605,6:27.251,7:52.965,7:43.763,8:21.415,6:31.167,1:13:39.116,10:10.919
עממית C2
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,זמן,פער
1,44,מעין סבי,6:49.258,5:22.367,7:04.821,5:27.367,7:00.426,5:19.435,6:53.975,5:21.761,6:46.159,5:18.740,1:01:24.309,-
2,146,רוני רגף,6:57.205,5:29.610,6:46.173,5:24.331,6:39.734,5:28.927,6:43.194,6:27.974,6:37.046,5:22.617,1:01:56.811,32.502
3,353,חן כהן,6:54.085,5:28.845,7:06.934,5:32.115,7:11.063,5:28.466,7:02.844,5:26.120,7:04.106,5:27.336,1:02:41.914,1:17.605
4,312,שגב דן,7:02.341,5:34.977,7:05.007,5:42.349,7:09.489,5:28.599,6:55.084,5:29.096,6:59.093,5:25.729,1:02:51.764,1:27.455
5,55,מור לויתן,6:57.582,5:42.494,7:03.124,6:00.198,7:01.142,5:43.567,7:01.952,5:34.273,6:55.003,5:27.473,1:03:26.808,2:02.499
6,179,אורי פרג רואי,7:07.920,5:36.499,7:23.758,5:47.397,7:26.656,5:43.547,7:16.796,5:34.561,7:15.996,5:50.410,1:05:03.540,3:39.231
7,28,צחי בני,7:18.089,5:45.065,7:17.208,5:51.530,7:13.728,5:38.635,7:19.730,5:54.167,7:16.313,5:46.170,1:05:20.635,3:56.326
8,304,אסף וייסבקר,7:13.172,5:57.447,7:57.737,5:43.595,7:25.359,5:41.949,7:15.623,5:43.385,7:05.306,5:33.922,1:05:37.494,4:13.185
9,201,קובי סרויה,7:33.884,6:35.414,7:28.006,6:04.031,7:37.126,5:50.899,7:29.618,5:57.231,7:28.520,6:05.033,1:08:09.762,6:45.453
10,142,צח טורגמן,7:37.588,6:11.760,7:28.387,6:32.533,7:59.218,6:25.158,7:49.221,6:10.346,7:35.367,6:05.836,1:09:55.414,8:31.105
11,101,ניר דוד,7:37.983,6:34.172,7:42.851,6:12.893,7:39.516,6:32.914,7:41.924,6:20.950,7:41.996,5:58.849,1:10:04.048,8:39.739
לא סיים - DNF
,13,ניר עונה,8:21.353,6:23.146,8:31.433,6:16.677,8:09.985,6:25.646,8:18.903,7:20.299,19:13.368,-,P 1:20:00.810,1 הקפה
עממית C3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,זמן,פער
1,74,איברהים אזברגה,7:23.723,5:53.974,7:28.776,5:55.514,7:19.401,5:53.129,7:28.659,6:04.929,7:29.570,5:57.278,1:06:54.953,-
2,64,תאמר כנעאן,7:29.458,6:21.877,7:20.050,6:16.204,7:30.300,6:26.764,7:27.622,6:03.617,7:25.566,5:59.882,1:08:21.340,1:26.387
